,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,24.21,46.97,2.81,15.62,10.59,6.67,5.67,0.77,35.52,0.15,0.86,,,,25.65,83.42,2.22,116.29,15.29,,0.0
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,45.15,69.01,2.64,15.91,10.61,8.56,5.3,0.7,33.0,0.24,0.7,,,,25.24,83.35,2.17,119.96,85.95,,0.0
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,31.84,49.62,1.94,13.21,8.6,8.39,4.09,0.65,28.69,0.13,0.66,,,,25.3,86.94,1.79,123.29,49.22,,0.15
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,39.19,60.24,1.09,10.84,6.65,9.93,4.01,0.62,45.71,0.11,0.42,,,,25.34,81.04,1.72,122.23,100.96,,0.0
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,29.91,56.44,1.77,15.6,9.72,9.53,4.5,0.62,43.76,0.19,1.16,,,,26.66,74.68,1.75,145.91,116.95,,0.0
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,18.26,40.76,2.44,16.5,10.75,9.94,3.58,0.49,34.93,0.12,0.8,,,,28.43,69.53,1.6,125.55,102.96,,0.0
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,23.5,51.41,3.68,19.04,13.12,11.35,3.49,0.59,32.64,0.16,0.85,,,,27.8,70.68,1.79,111.21,102.83,,0.0
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,33.97,65.99,2.57,16.57,10.9,9.92,3.29,0.57,46.04,0.13,0.69,,,,25.4,71.72,1.89,118.0,100.29,,0.0
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,49.91,88.73,2.26,20.53,12.76,10.78,9.13,0.77,48.6,0.19,0.93,,,,25.45,77.23,1.57,111.24,61.52,,0.0
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,33.91,65.14,2.93,18.24,12.09,7.59,4.64,0.73,33.11,0.18,0.86,,,,25.53,80.39,1.55,146.85,95.38,,0.0
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,6.88,26.22,1.65,10.33,6.74,2.92,3.09,0.5,18.42,0.09,0.47,,,,25.55,79.12,1.77,204.41,102.69,,0.0
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,15.99,40.22,3.49,14.02,10.05,8.47,4.24,0.58,28.28,0.1,0.56,,,,25.44,73.85,1.81,153.92,115.46,,0.0
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,28.88,56.9,2.07,16.48,10.36,9.16,5.4,0.53,44.08,0.1,0.56,,,,25.65,68.01,1.77,172.19,124.87,,0.0
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,27.15,52.92,4.81,20.6,14.87,9.29,5.01,0.73,29.03,0.16,0.86,,,,25.54,70.38,1.66,149.1,119.82,,0.0
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,29.0,58.3,2.95,19.0,12.2,9.33,6.28,0.56,46.85,0.12,0.63,,,,25.59,64.07,1.81,150.3,115.5,,0.0
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,45.19,79.52,2.79,21.43,13.82,10.98,6.96,0.73,55.14,0.16,0.78,,,,25.6,68.1,1.57,108.56,111.29,,0.0
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,62.16,101.19,1.93,16.97,10.55,12.21,5.68,0.73,55.96,0.05,0.3,,,,25.9,71.02,1.89,128.95,88.59,,0.0
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,65.42,106.69,1.92,18.96,11.64,12.1,4.86,0.81,60.13,,,,,,25.62,74.99,1.65,124.54,59.5,,0.0
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,52.06,92.86,1.92,17.58,10.92,10.65,4.73,0.76,52.56,,,,,,25.32,74.61,1.85,136.04,110.65,,0.0
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,33.57,63.15,1.8,13.98,8.91,8.97,4.32,0.6,48.25,,,,,,25.34,74.07,1.94,130.57,118.73,,0.0
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,24.47,50.68,2.8,14.42,9.96,8.24,3.79,0.56,39.99,,,,,,25.4,71.77,2.22,131.49,119.34,,0.0
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,44.05,79.33,2.08,17.41,10.94,9.92,4.18,0.69,53.48,,,,,,25.34,71.88,2.05,142.98,111.72,,0.0
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,37.64,74.67,1.57,16.8,10.15,8.12,5.64,0.65,75.24,,,,,,25.37,67.51,2.1,141.94,108.45,,0.0
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,31.01,75.65,2.26,19.56,12.24,7.96,6.57,0.63,62.76,,,,,,25.2,64.04,2.0,132.71,119.7,,0.0
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,37.23,84.34,1.66,19.23,11.57,10.3,7.82,0.64,71.35,0.5,3.8,,,,25.33,63.92,2.05,134.52,106.04,,0.0
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,35.06,78.31,1.74,18.74,11.3,9.74,6.02,0.59,66.19,0.49,3.5,,,,25.36,66.72,2.02,122.15,121.41,,0.0
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,30.22,64.2,1.61,16.29,9.94,9.67,5.78,0.52,59.92,0.38,2.38,,,,25.36,69.77,2.12,116.73,126.3,,0.0
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,24.78,41.41,1.77,11.99,10.74,8.98,2.3,0.57,55.93,0.47,3.74,,,,25.44,68.94,2.12,123.5,125.4,,0.0
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,36.27,76.69,2.04,21.6,12.01,9.83,6.12,0.59,67.39,0.49,3.86,,,,25.36,63.15,2.02,125.66,122.59,,0.0
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,33.18,69.36,1.68,22.38,13.21,9.71,5.37,0.61,70.09,0.53,5.0,,,,25.38,61.6,1.93,142.49,123.86,,0.0
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,24.7,58.06,2.34,22.97,14.12,9.32,5.49,0.59,55.63,0.5,4.79,,,,25.76,61.22,1.77,143.06,128.45,,0.0
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,16.14,44.85,2.62,19.74,12.63,8.23,3.63,0.55,47.35,0.46,6.78,,,,25.36,60.38,1.74,128.3,118.9,,0.0
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,16.68,46.89,3.17,20.3,13.31,8.71,4.92,0.58,37.95,0.47,6.01,,,,25.57,67.22,1.91,144.74,129.34,,0.0
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,12.82,33.52,1.83,13.32,8.54,8.0,5.22,0.46,38.3,0.28,2.5,,,,25.65,68.84,2.09,164.65,123.94,,0.0
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,13.72,34.34,2.66,16.09,10.73,7.28,5.32,0.48,31.34,0.36,3.42,,,,25.57,70.45,1.95,163.21,123.36,,0.0
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,15.26,39.75,2.55,14.66,9.81,7.65,4.45,0.48,32.46,0.32,2.93,,,,25.59,68.76,1.74,162.57,106.61,,0.0
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,30.68,61.67,2.96,19.47,12.71,8.93,4.03,0.61,39.92,0.42,5.77,,,,25.61,68.42,1.79,155.03,121.38,,0.0
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,40.5,77.16,2.07,17.14,10.77,9.65,3.68,0.6,48.69,0.42,3.91,,,,25.67,67.39,2.07,148.72,115.11,,0.0
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,30.41,62.42,2.51,14.24,9.63,8.17,5.22,0.57,34.95,0.38,3.19,,,,25.58,73.26,2.19,137.72,115.1,,0.0
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,11.5,26.39,1.94,11.99,7.87,6.31,6.09,0.51,42.14,0.3,2.53,,,,25.81,77.41,2.44,128.65,89.24,,0.01
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,7.88,16.92,1.73,12.97,8.3,5.23,4.57,0.49,45.15,0.28,2.63,,,,25.35,83.16,2.26,138.58,82.45,,5.49
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,14.21,38.04,2.6,13.79,9.41,5.33,4.13,0.61,32.68,0.47,3.66,,,,25.67,79.99,2.01,127.85,112.55,,0.0
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,22.61,49.99,4.35,18.64,13.37,8.16,4.99,0.7,35.17,0.51,4.6,,,,25.97,77.67,1.77,134.78,128.51,,0.0
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,23.89,44.59,2.56,17.27,11.25,7.71,4.2,0.61,33.42,0.46,4.76,,,,25.81,71.45,1.56,149.16,136.77,,0.0
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,28.02,44.75,2.02,13.76,8.91,8.18,4.49,0.55,34.86,0.36,4.45,,,,26.1,72.92,1.54,170.26,139.78,,0.0
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,34.62,56.61,2.89,14.05,9.72,9.58,5.08,0.64,37.56,0.73,4.22,,,,26.46,74.49,1.36,193.73,133.1,,0.0
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,26.73,45.96,1.1,13.07,7.8,9.07,5.91,0.58,27.59,0.62,3.26,,,,26.55,76.13,1.51,204.45,147.07,,0.0
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,17.95,28.19,1.86,11.03,7.37,7.94,3.29,0.51,15.35,0.58,3.28,,,,26.56,80.18,1.29,202.81,128.0,,0.0
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,24.75,42.81,2.37,10.4,7.41,6.9,12.86,0.45,22.06,0.33,2.67,,,,26.58,74.16,1.43,203.2,139.24,,0.0
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,36.0,57.7,2.01,12.49,8.15,10.51,7.27,0.63,29.87,0.71,2.73,,,,26.49,73.5,1.36,198.36,129.81,,0.0
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,54.28,81.45,2.44,15.84,10.4,11.65,12.0,0.68,30.6,0.82,4.78,,,,26.08,71.67,1.55,168.07,131.82,,0.0
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,23.34,48.23,2.94,12.61,9.09,7.54,4.47,0.48,26.14,0.28,3.06,,,,26.39,65.59,1.57,176.51,137.21,,0.0
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,18.46,41.02,2.56,11.77,8.35,7.08,3.36,0.42,26.81,0.25,2.2,,,,26.33,67.91,1.73,177.34,144.82,,0.0
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,30.79,62.15,2.44,11.04,7.86,7.05,14.63,0.45,21.06,0.33,3.78,,,,26.35,74.52,1.69,178.72,136.3,,0.0
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,22.32,42.96,2.28,9.77,6.97,7.55,12.37,0.44,16.32,0.35,1.78,,,,26.42,76.57,1.82,172.73,142.71,,0.0
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,9.07,26.3,5.76,10.89,10.47,6.02,5.27,0.51,10.12,0.33,3.73,,,,26.41,73.53,1.75,170.02,147.97,,0.0
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,6.51,22.19,3.57,9.01,7.71,5.36,3.14,0.43,11.35,0.28,2.47,,,,26.44,74.69,1.9,172.78,140.02,,0.0
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,6.39,22.1,3.35,7.7,6.77,4.72,2.92,0.38,11.91,0.21,2.76,,,,26.43,75.24,2.22,180.02,144.89,,0.0
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,12.0,28.49,1.97,7.34,5.48,6.73,4.95,0.39,21.8,0.24,1.84,,,,26.37,71.52,1.77,209.38,143.12,,0.0
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,13.91,29.64,2.31,11.02,7.71,8.01,5.34,0.49,21.3,0.55,2.62,,,,26.2,71.82,1.68,188.08,145.3,,0.0
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,23.84,46.26,3.39,15.03,10.69,7.22,8.63,0.49,25.76,0.51,7.06,,,,26.03,69.84,1.79,171.73,140.85,,0.0
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,9.48,25.83,1.45,9.08,5.99,6.43,3.9,0.35,31.09,0.17,1.48,,,,26.05,66.93,1.6,187.16,142.12,,0.0
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,10.06,29.32,2.87,14.76,10.19,6.3,4.15,0.48,28.86,0.34,3.56,,,,26.04,68.78,1.78,150.19,139.34,,0.0
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,12.28,28.47,2.3,12.34,8.43,6.46,4.87,0.44,25.35,0.26,4.51,,,,26.06,75.68,1.59,157.34,133.52,,0.0
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,21.3,40.73,2.06,11.71,7.8,6.81,8.92,0.46,31.85,0.27,6.14,,,,26.08,74.79,1.43,148.12,104.7,,0.0
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,34.39,63.29,2.08,13.47,8.83,7.61,14.08,0.51,37.24,0.35,8.56,,,,26.12,68.78,1.75,154.03,102.68,,0.0
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,30.3,59.99,1.45,11.01,7.01,8.17,4.3,0.46,48.19,0.23,2.23,,,,26.19,69.01,1.69,151.12,109.38,,0.0
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,44.12,75.28,1.32,12.01,7.33,8.97,7.62,0.51,34.35,0.31,4.18,,,,26.66,73.69,1.71,163.65,102.3,,0.0
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,40.75,67.66,1.8,11.34,7.46,8.98,19.13,0.48,25.97,0.27,3.5,,,,29.19,72.65,1.85,160.74,108.88,,0.0
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,25.57,52.44,1.67,8.02,5.53,8.02,6.16,0.41,26.46,0.2,2.19,,,,29.27,70.93,1.94,152.84,105.08,,0.0
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,35.52,90.38,2.3,11.24,7.76,8.99,6.19,0.49,28.38,0.27,2.93,,,,29.37,73.08,1.85,151.91,99.35,,0.0
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,41.68,99.58,3.41,14.09,10.21,9.37,5.9,0.58,25.64,0.35,4.89,,,,29.33,72.59,1.71,140.07,99.02,,0.0
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,41.5,100.43,1.87,9.87,6.69,9.28,9.66,0.48,26.1,0.25,4.12,,,,29.34,75.24,1.5,162.1,91.93,,0.0
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,34.88,83.76,2.12,9.71,6.84,8.91,5.37,0.45,24.74,0.25,3.59,,,,29.29,74.32,1.62,164.5,96.69,,0.0
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,29.52,62.2,1.95,9.63,6.6,9.42,5.65,0.49,24.28,0.54,2.51,,,,29.28,74.84,1.67,192.34,96.18,,0.0
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,24.53,49.2,1.58,9.06,5.95,10.41,9.22,0.51,26.03,0.55,1.4,,,,29.3,76.21,1.85,234.6,97.4,,0.0
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,14.53,34.76,1.1,8.17,5.15,8.81,8.37,0.49,31.33,0.3,1.44,,,,29.28,77.35,2.06,242.25,90.86,,0.0
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,16.5,41.55,0.82,8.4,5.08,9.44,9.56,0.42,40.8,0.23,1.79,,,,29.51,74.23,2.1,253.68,94.25,,0.0
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,12.33,42.76,0.54,7.71,4.5,9.28,11.64,0.42,33.42,0.26,1.92,,,,29.35,75.72,2.35,254.75,91.07,,0.0
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,19.46,49.34,0.74,6.44,3.86,9.76,12.6,0.39,41.84,0.18,1.27,,,,29.31,75.56,2.56,263.6,88.97,,0.0
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,33.95,77.78,0.67,8.46,5.03,11.77,11.32,0.41,57.36,0.26,1.68,,,,29.52,70.1,2.11,253.29,93.06,,0.0
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,29.86,73.08,0.46,6.18,3.61,11.35,17.63,0.38,48.1,0.18,1.31,,,,29.5,75.85,2.51,256.19,91.11,,0.0
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,28.47,80.25,0.64,7.43,4.38,9.53,20.35,0.38,46.28,0.17,1.51,,,,29.59,77.7,2.11,226.34,90.52,,0.0
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,25.44,74.77,0.52,8.5,4.93,8.75,6.33,0.41,42.89,0.2,1.76,,,,29.66,79.02,2.0,195.77,89.43,,0.0
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,25.62,66.3,0.46,5.62,3.32,9.5,6.33,0.36,41.58,0.14,1.3,,,,29.43,71.69,1.82,179.79,96.92,,0.0
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,27.67,68.95,0.81,6.51,4.1,9.95,5.68,0.41,40.47,0.22,1.26,,,,29.48,71.22,2.0,209.31,96.49,,0.0
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,32.92,79.46,1.08,9.41,5.77,11.33,8.11,0.53,38.96,0.5,1.58,,,,29.48,71.83,2.01,231.94,90.8,,0.0
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,25.92,61.74,0.48,7.41,4.32,10.26,8.05,0.43,37.42,0.24,1.58,,,,29.52,69.85,1.88,228.6,98.99,,0.0
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,27.89,59.84,1.35,7.85,5.22,10.43,9.28,0.45,19.94,0.37,1.92,,,,29.6,71.83,2.05,188.39,103.07,,0.0
355,11-Apr-2021 - 00:00,12-Apr-2021 - 00:00,27.84,48.57,1.98,7.64,5.66,9.39,17.56,0.44,15.12,0.23,9.42,,,,29.53,73.68,1.78,167.8,103.11,,0.02
356,12-Apr-2021 - 00:00,13-Apr-2021 - 00:00,9.79,25.47,0.97,5.4,3.6,8.17,7.3,0.33,16.53,0.17,1.38,,,,29.62,72.27,1.98,212.91,107.16,,0.0
357,13-Apr-2021 - 00:00,14-Apr-2021 - 00:00,19.57,41.62,1.21,6.73,5.25,8.6,5.21,0.44,9.19,0.33,8.25,,,,29.46,73.23,1.96,194.98,113.32,,0.0
358,14-Apr-2021 - 00:00,15-Apr-2021 - 00:00,12.7,29.69,1.78,6.4,4.86,9.34,6.4,0.4,8.78,0.39,1.59,,,,29.24,73.67,1.89,228.68,93.74,,0.0
359,15-Apr-2021 - 00:00,16-Apr-2021 - 00:00,12.99,28.29,4.16,12.79,10.11,8.93,12.42,0.5,18.06,0.4,3.11,,,,29.12,77.08,1.59,174.62,75.96,,0.02
360,16-Apr-2021 - 00:00,17-Apr-2021 - 00:00,16.66,32.76,1.17,9.32,5.9,9.94,17.63,0.39,28.81,0.31,1.72,,,,29.29,76.35,2.07,233.45,112.58,,0.0
361,17-Apr-2021 - 00:00,18-Apr-2021 - 00:00,10.72,27.75,0.72,7.42,4.43,8.25,15.65,0.35,33.04,0.21,1.21,,,,29.47,75.85,2.11,252.32,112.08,,0.0
362,18-Apr-2021 - 00:00,19-Apr-2021 - 00:00,8.27,23.55,0.48,5.46,3.3,8.96,5.43,0.34,31.26,0.1,1.35,,,,29.56,75.26,2.24,253.9,115.68,,0.0
363,19-Apr-2021 - 00:00,20-Apr-2021 - 00:00,15.46,36.32,0.54,6.65,3.96,9.46,10.14,0.37,41.93,0.16,1.43,,,,29.45,74.44,2.32,255.89,111.76,,0.0
364,20-Apr-2021 - 00:00,21-Apr-2021 - 00:00,11.5,32.44,0.57,6.2,3.74,9.51,8.24,0.38,36.42,0.15,1.77,,,,29.52,77.16,2.22,242.74,113.17,,0.0
365,21-Apr-2021 - 00:00,22-Apr-2021 - 00:00,12.57,34.99,0.42,5.76,3.35,9.06,7.13,0.31,36.43,0.14,1.67,,,,29.43,77.01,2.52,237.0,123.21,,0.0
