,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,22.3,3.75,9.52,13.25,1.98,0.41,21.79,0.25,0.07,0.12,0.08,,,69.59,0.3,167.5,65.01
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,30.66,3.51,8.65,12.11,2.16,0.52,16.66,0.11,0.02,0.06,0.01,,,72.83,0.29,194.98,52.1
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,26.16,3.84,9.21,13.0,4.09,0.41,31.18,0.03,0.0,0.01,,,,71.06,0.3,213.98,58.88
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,32.3,3.01,12.08,15.05,6.02,0.51,16.65,0.28,0.06,0.22,0.05,,,71.66,0.33,179.42,42.78
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,26.97,2.49,9.15,11.55,3.3,0.43,22.95,0.22,0.0,0.09,,,,73.22,0.35,205.63,51.77
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,28.9,2.3,8.78,10.93,3.77,0.32,14.84,0.0,0.0,,,,,78.31,0.28,221.97,48.82
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,30.26,1.75,8.67,10.28,2.82,0.29,14.67,0.0,0.0,,,,,79.45,0.31,208.81,30.33
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,27.3,1.85,9.3,11.0,2.83,0.36,18.2,0.25,0.03,0.17,0.03,,,75.15,0.37,188.19,74.18
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,28.19,2.59,11.71,14.0,3.68,0.42,15.02,0.69,1.1,,,,,80.66,0.48,113.07,38.44
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,22.77,2.9,9.62,12.47,4.39,0.46,20.64,0.04,0.07,,,,,81.3,0.28,99.14,62.16
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,26.11,3.02,9.14,12.13,5.99,0.43,28.03,0.12,0.0,,,,,73.77,0.31,153.42,75.95
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,28.11,3.76,9.32,13.01,4.41,0.43,16.16,0.1,0.1,0.06,0.02,,,76.94,0.34,164.98,75.55
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,28.79,2.17,6.11,8.13,4.32,0.47,16.99,0.0,0.0,,,,,76.72,0.28,210.98,80.89
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,27.28,1.94,6.87,8.66,3.61,0.31,7.68,0.0,0.0,,,,,79.45,0.49,184.81,36.3
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,21.29,2.94,7.01,9.93,3.39,0.47,6.99,0.0,0.0,,,,,75.64,0.29,136.15,20.98
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,41.59,3.66,14.43,17.96,4.64,0.72,21.66,0.44,0.0,,,,,70.16,0.8,114.73,48.06
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,58.69,4.12,8.1,12.08,5.51,0.42,19.2,0.05,0.0,,,,,74.38,0.38,105.31,41.02
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,25.2,2.98,4.22,7.14,4.85,0.42,17.89,0.0,0.0,,,,,77.25,0.41,113.04,83.66
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,21.64,2.82,4.1,6.89,2.42,0.42,17.05,0.17,0.0,,,,,75.2,0.42,95.75,64.92
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,48.03,2.93,3.75,6.64,2.86,0.36,12.81,0.05,0.0,0.03,,,,72.57,0.49,102.49,107.47
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,32.45,2.46,3.74,6.12,3.88,0.35,36.56,0.0,0.0,,,,,73.45,0.31,161.28,84.64
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,45.37,2.1,4.04,6.05,6.44,0.43,28.87,0.0,0.0,,,,,79.71,0.39,83.81,38.31
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,37.5,2.37,4.22,6.56,5.92,0.47,36.72,0.02,0.0,0.01,,,,71.21,0.25,139.74,41.38
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,51.61,3.03,3.68,6.62,3.15,0.39,36.63,0.36,0.0,0.15,,,,77.95,0.26,158.71,35.07
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,38.56,4.84,5.55,8.23,4.45,0.31,13.78,0.03,0.03,0.03,0.03,,,75.89,0.24,184.96,34.98
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,67.35,4.7,4.61,6.47,4.31,0.39,16.53,0.04,0.0,0.02,,,,67.13,0.27,239.11,49.58
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,23.67,2.83,3.19,6.02,3.21,0.28,13.64,0.0,0.0,,,,,73.06,0.29,234.41,40.93
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,17.2,5.84,6.72,7.45,2.67,0.21,8.28,0.0,0.0,,,,,88.97,0.3,127.9,24.83
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,17.23,4.12,1.97,5.75,3.35,0.29,12.58,0.12,0.0,0.03,,,,79.38,0.51,182.87,37.75
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,27.92,5.05,8.13,10.41,3.47,0.33,10.57,0.0,0.0,,,,,80.7,0.17,125.94,31.7
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,26.23,4.07,10.94,13.82,3.44,0.34,12.44,0.0,0.0,,,,,78.09,0.18,138.67,37.31
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,34.86,8.16,13.63,17.35,3.65,0.36,13.44,0.0,0.0,,,,,82.12,0.32,160.52,40.24
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,36.35,4.78,11.28,15.2,3.5,0.35,12.48,0.0,0.0,,,,,81.02,0.39,156.64,37.45
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,22.06,5.09,11.32,13.55,4.09,0.32,10.3,0.0,0.0,,,,,86.42,0.45,128.34,30.89
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,29.43,2.31,10.42,12.73,3.17,0.21,10.63,0.0,0.0,,,,,74.07,0.57,256.9,31.9
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,33.4,3.67,11.04,12.65,3.95,0.31,11.0,0.0,0.0,,,,,68.74,0.23,139.96,33.0
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,29.11,3.96,12.68,14.84,4.66,0.14,5.45,0.0,0.0,,,,,72.77,0.37,209.14,16.36
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,34.43,3.39,14.59,15.93,4.78,0.19,14.66,0.0,0.0,,,,,68.73,0.35,202.17,46.6
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,36.02,6.64,12.04,14.91,3.28,0.18,14.38,0.0,0.0,,,,,70.36,0.29,209.86,46.04
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,37.21,3.63,15.63,12.29,4.4,0.2,11.95,0.0,0.0,,,,,76.65,0.33,215.39,35.85
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,33.34,5.87,13.13,12.65,3.42,0.25,12.91,0.0,0.0,,,,,75.66,0.36,125.79,38.66
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,16.61,2.93,9.63,12.07,3.39,0.22,11.89,0.0,0.0,,,,,78.07,0.47,91.61,35.67
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,70.79,4.06,11.74,14.12,3.73,0.23,10.16,0.0,0.0,,,,,78.68,0.41,112.94,30.47
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,108.27,12.53,12.88,20.93,5.85,0.19,15.04,0.0,0.0,,,,,83.14,0.69,192.54,45.13
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,10.14,35.08,8.03,27.22,21.72,0.2,13.64,0.0,0.0,,,,,81.52,0.47,153.91,40.93
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,18.13,2.85,9.56,12.21,3.53,0.31,16.95,0.0,0.0,,,,,80.51,0.3,156.6,37.15
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,26.8,2.18,10.64,12.82,4.47,0.23,27.33,0.0,0.15,0.16,0.32,,,73.53,0.53,110.69,41.62
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,21.27,2.37,10.75,13.11,5.99,0.3,,0.22,0.09,0.08,,,,62.71,0.38,224.0,36.77
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,18.17,2.28,11.1,13.24,3.34,0.24,,0.1,0.0,0.18,,,,59.61,0.36,134.18,35.53
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,18.5,2.66,13.34,16.0,3.73,0.26,,0.04,0.0,,0.1,,,51.72,0.46,109.63,38.96
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,35.09,2.4,11.42,13.82,3.68,0.23,34.37,0.0,0.0,,0.1,,,61.38,0.38,112.48,28.43
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,26.34,1.63,10.49,12.06,3.03,0.29,,0.0,0.0,,,,,76.3,0.27,164.91,24.73
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,23.04,1.9,10.51,12.35,3.26,0.34,,0.0,0.0,,,,,87.23,0.14,113.32,32.15
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,25.35,2.25,10.63,12.85,4.0,0.3,,0.0,0.0,,,,,84.86,0.24,125.69,32.08
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,31.2,1.93,10.44,12.34,5.11,0.42,4.74,0.0,0.0,,,,,72.34,0.51,78.96,29.2
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,17.22,1.77,10.02,11.78,6.6,0.19,24.8,0.0,0.0,,,,,66.81,0.49,186.63,74.4
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,16.09,1.83,9.75,11.57,6.91,0.38,3.37,0.16,0.0,,,,,78.89,0.46,102.01,10.35
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,17.93,1.95,10.58,12.49,5.15,0.12,10.4,0.0,0.0,,,,,62.24,0.42,232.19,31.19
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,19.05,2.09,10.77,12.85,2.24,0.17,10.78,0.0,0.0,,,,,50.02,0.31,221.42,32.34
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,24.93,2.91,13.2,15.71,4.09,0.21,1.33,0.07,0.0,,0.26,,,63.34,0.12,106.27,3.99
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,16.92,3.81,16.73,20.31,3.91,0.2,9.49,0.05,0.09,0.08,0.09,,,66.18,0.49,85.9,28.48
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,35.55,3.7,16.08,19.79,7.47,0.24,9.74,0.06,0.0,0.09,,,,73.29,0.68,84.0,29.21
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,25.52,3.66,15.94,19.6,3.8,0.24,2.99,0.06,0.0,,,,,82.58,0.26,48.89,8.96
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,31.93,4.03,15.47,19.48,3.98,0.26,11.18,0.06,0.0,,,,,73.24,0.67,84.38,33.55
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,28.68,4.11,15.38,19.49,5.18,0.3,7.79,0.0,0.0,,,,,81.62,0.54,63.78,17.68
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,18.14,3.85,15.82,19.67,4.38,0.47,,0.0,0.0,,,,,85.91,0.67,57.05,32.15
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,23.51,3.75,15.59,19.34,3.76,0.69,,0.0,0.0,,,,,85.9,0.38,140.52,21.97
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,24.24,3.69,15.87,19.56,2.61,0.41,10.8,0.0,0.0,,,,,89.84,0.24,102.82,28.74
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,34.61,4.02,15.69,19.7,3.07,0.22,8.9,0.0,0.0,,,,,86.6,0.32,128.86,26.69
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,58.0,3.89,15.78,19.67,3.65,0.2,8.59,0.0,0.0,,,,,77.36,0.37,61.83,25.78
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,65.16,3.78,15.75,19.53,3.73,0.3,8.94,0.0,0.0,,,,,75.25,1.16,68.08,26.83
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,61.4,3.88,15.65,19.53,5.02,0.18,7.96,0.12,0.0,0.18,0.1,,,77.31,1.05,66.68,23.89
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,36.55,3.9,15.81,19.71,3.29,0.44,9.06,0.21,0.29,,0.1,,,73.07,1.62,67.25,27.19
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,30.56,3.81,15.8,19.61,3.62,0.27,6.05,0.1,0.0,,0.12,,,80.37,1.26,62.65,18.14
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,57.94,3.8,15.82,19.61,6.79,0.21,9.33,0.0,0.0,,,,,65.92,1.28,64.7,27.98
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,71.46,4.74,15.26,19.88,16.26,0.27,6.71,0.0,0.0,,,,,66.7,0.89,56.08,20.14
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,70.22,3.86,15.99,19.59,8.42,0.48,7.76,0.0,0.0,,,,,71.13,0.32,71.65,23.27
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,47.07,3.27,16.73,20.0,7.12,0.26,7.23,0.0,0.0,,,,,71.74,0.56,65.43,21.68
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,43.27,2.89,15.96,18.84,2.84,0.35,8.23,0.0,0.0,,,,,71.07,1.18,71.2,24.68
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,26.95,2.07,13.43,15.5,7.0,0.3,8.1,0.0,0.0,,,,,77.71,0.81,66.02,24.3
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,25.84,2.18,13.32,15.5,2.32,0.31,7.5,0.0,0.0,,,,,74.58,0.78,82.05,22.49
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,12.83,2.52,13.07,15.59,9.3,0.58,7.62,0.0,0.0,,,,,75.88,0.61,74.75,22.84
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,18.61,2.25,13.16,15.4,5.11,1.0,8.28,0.0,0.0,,,,,82.95,0.86,68.77,24.85
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,52.69,2.47,12.66,15.09,5.9,1.0,11.19,0.0,0.0,,,,,64.85,1.74,95.02,33.56
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,54.07,2.46,12.76,15.21,6.77,1.0,7.81,0.0,0.0,,,,,61.31,1.71,76.64,23.43
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,58.86,2.34,12.71,15.01,7.44,1.0,8.0,0.0,0.0,,,,,62.28,1.4,69.86,23.99
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,57.23,2.38,12.88,15.26,6.2,1.0,9.6,0.0,0.0,,,,,69.35,1.39,66.64,28.81
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,18.69,2.07,13.17,15.21,6.55,0.65,7.59,0.0,0.0,,,,,86.06,1.03,77.92,21.86
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,25.53,2.13,13.31,15.43,8.67,0.39,7.96,0.05,3.09,,0.1,,,77.49,1.21,85.07,23.88
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,48.05,1.92,15.12,17.01,29.54,0.83,13.93,0.35,0.11,0.09,0.21,,,68.39,1.77,95.34,22.11
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,41.88,3.08,18.35,21.42,26.45,1.0,7.85,0.22,0.13,0.16,0.21,,,81.32,1.17,89.63,23.54
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,24.37,2.72,12.86,15.44,6.6,0.63,5.11,0.17,0.1,0.29,0.32,,,86.07,0.5,82.21,15.32
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,34.49,1.02,11.48,12.48,4.36,0.73,8.48,0.05,0.0,,0.08,,,81.34,1.0,81.66,25.44
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,21.28,1.05,11.32,12.35,4.36,0.74,8.35,0.12,0.2,0.13,,,,78.71,0.67,79.39,25.04
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,16.93,1.05,11.21,12.23,4.37,0.74,6.21,0.1,0.28,0.22,,,,74.85,0.58,94.63,18.63
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,21.06,1.03,11.54,12.49,4.35,0.74,4.53,0.09,0.26,0.12,0.12,,,70.24,0.62,71.95,13.59
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,21.03,1.15,11.29,12.42,4.4,0.74,5.96,0.36,0.19,0.1,0.08,,,63.52,0.97,75.33,17.88
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,21.02,1.16,11.26,12.42,4.37,0.73,7.71,0.1,0.1,0.41,0.08,,,68.12,0.96,65.9,23.14
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,25.79,1.69,13.16,14.19,6.26,0.71,11.84,0.28,0.1,0.11,0.35,,,73.92,1.59,74.36,29.32
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,34.57,2.08,7.82,9.46,12.52,0.7,,0.0,0.0,,,,,94.31,1.67,83.09,11.07
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,30.85,,,,12.53,0.68,,0.13,0.3,,0.28,,,76.79,0.19,95.27,10.6
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,21.24,6.58,5.38,11.97,7.9,0.72,10.53,0.12,0.47,0.49,0.22,,,78.5,0.82,76.79,24.72
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,21.05,4.67,20.71,25.38,4.33,0.73,6.87,0.0,0.2,,,,,81.43,1.72,69.56,20.61
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,20.92,3.2,12.89,16.08,4.37,0.73,11.84,0.31,0.0,0.53,,,,69.4,2.22,92.2,35.51
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,26.51,2.77,11.76,14.52,4.35,0.73,9.35,0.4,0.1,,0.26,,,68.91,1.69,76.73,28.04
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,36.78,0.89,9.44,10.34,4.39,0.73,4.18,0.23,0.0,0.09,0.47,,,75.89,2.59,77.78,12.54
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,16.72,4.87,5.34,10.21,4.38,0.73,6.97,0.22,0.0,,0.09,,,85.12,1.54,91.72,20.9
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,9.89,3.5,13.59,17.09,4.39,0.74,4.15,0.0,0.0,,,,,85.89,1.28,94.59,12.45
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,9.11,5.54,5.56,11.09,4.36,0.73,6.47,0.0,0.0,,,,,84.53,0.76,82.81,19.42
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,7.39,2.9,4.08,6.65,4.37,0.73,8.26,0.0,0.0,,,,,80.26,1.25,103.38,24.77
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,7.66,4.31,4.0,8.31,4.41,0.73,9.17,0.0,0.0,,,,,83.37,0.67,91.67,27.52
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,16.25,6.63,5.61,12.23,4.37,0.74,8.1,0.0,0.0,,,,,81.15,0.73,84.18,24.29
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,21.0,6.91,7.03,13.93,4.41,0.74,8.43,0.0,0.0,,,,,75.68,0.88,86.49,25.29
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,24.97,6.91,7.98,14.89,4.36,0.73,7.55,0.0,0.0,,,,,70.65,0.57,68.45,22.65
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,30.81,,,,4.35,0.73,3.88,0.0,0.0,,,,,79.96,0.44,56.99,11.65
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,44.14,4.97,12.05,16.94,13.62,1.25,10.28,0.0,0.0,,,,,62.16,2.07,98.19,30.84
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,46.34,6.2,14.69,19.67,8.26,1.03,6.9,0.0,0.0,0.03,,,,71.97,1.56,100.18,20.69
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,30.45,5.06,18.76,21.31,8.25,0.7,8.81,0.0,0.0,,,,,71.31,1.64,100.39,26.43
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,37.09,7.77,18.38,21.28,8.21,0.7,7.67,0.25,0.0,,0.08,,,69.71,1.7,85.88,23.01
