,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,42.33,2.47,19.94,21.11,8.22,0.7,7.63,0.22,0.0,0.11,0.09,,,64.99,1.15,101.69,22.81
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,47.5,6.53,22.73,28.85,8.23,0.7,8.51,0.07,0.0,,0.2,,,56.75,1.62,88.69,25.54
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,44.6,7.98,24.87,28.54,8.25,0.7,8.38,0.11,0.0,0.16,0.11,,,53.2,1.3,84.39,25.13
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,43.48,15.29,27.54,35.87,8.19,0.7,8.4,0.0,0.0,,,,,61.71,0.87,71.87,25.19
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,48.41,7.11,33.06,26.18,8.22,0.7,8.15,0.05,0.0,0.09,,,,62.25,0.81,79.67,24.44
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,45.58,4.22,11.01,15.53,8.26,0.69,10.86,0.0,0.0,,,,,63.66,1.47,74.22,32.48
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,65.06,4.23,11.28,15.53,8.28,0.7,3.81,0.12,0.0,0.53,0.24,,,57.24,1.12,83.49,11.43
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,38.18,4.23,11.29,15.53,8.24,0.7,8.14,0.12,0.2,0.3,0.36,,,66.16,1.33,63.57,24.41
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,49.39,4.24,11.29,15.53,8.23,0.7,8.43,0.13,0.33,0.21,0.08,,,67.61,1.47,75.4,25.29
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,43.25,4.24,11.29,15.52,8.24,0.7,8.68,0.32,0.1,,0.1,,,65.95,1.84,72.99,26.05
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,24.39,4.23,11.29,15.54,8.23,0.7,12.56,0.0,0.01,,,,,61.42,2.51,101.14,37.67
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,19.59,4.24,11.3,15.51,8.21,0.7,8.07,0.0,0.0,,,,,70.52,1.81,92.97,24.22
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,19.86,4.28,11.31,15.53,8.24,0.7,9.63,0.0,0.0,,,,,65.01,1.97,111.89,28.91
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,21.2,4.24,11.29,15.53,8.21,0.7,8.45,0.32,0.19,0.29,,,,63.11,1.21,84.98,25.36
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,19.52,4.23,11.3,15.52,8.21,0.7,5.06,0.08,0.11,0.17,0.29,,,77.01,1.22,78.28,15.17
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,15.24,4.23,11.28,15.52,8.21,0.7,6.84,0.11,0.25,0.2,0.11,,,76.08,1.59,93.06,20.51
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,14.14,4.22,11.27,15.53,8.21,0.7,8.47,0.09,0.2,0.23,0.36,,,72.48,1.57,89.43,25.42
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,7.81,4.22,11.29,15.54,8.21,0.7,1.83,0.0,0.22,0.3,0.1,,,88.54,0.37,66.9,5.49
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,9.14,5.1,13.24,20.32,7.63,0.7,7.37,0.05,0.0,,,,,84.77,0.57,80.93,22.11
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,15.84,5.77,13.62,23.98,6.56,0.7,7.95,0.07,0.11,0.16,0.18,,,82.59,0.87,75.78,23.85
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,21.29,4.24,11.3,15.51,6.59,0.7,7.95,0.09,0.0,0.16,0.87,,,79.91,0.93,81.92,23.83
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,40.06,4.24,11.29,15.52,6.58,0.7,8.68,0.05,0.0,,0.08,,,77.36,1.01,86.11,26.03
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,53.05,4.23,11.29,15.52,6.6,0.7,9.01,0.05,0.0,,,,,76.1,1.5,85.71,27.02
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,51.66,4.22,11.3,15.52,6.56,0.7,9.35,0.23,0.1,,,,,75.35,2.11,87.22,27.25
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,48.65,4.23,11.29,15.52,6.55,0.7,10.51,0.0,0.0,0.1,,,,73.23,2.09,92.1,27.74
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,77.15,4.52,12.56,17.77,8.85,0.75,7.68,0.0,0.12,0.11,0.1,,,73.15,1.29,86.08,25.95
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,62.84,4.23,11.3,15.52,8.25,0.7,9.6,0.2,0.19,0.1,0.2,,,73.18,1.1,92.74,26.97
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,68.81,4.24,11.29,15.51,8.2,0.7,9.31,0.0,0.3,,,,,69.47,0.57,75.73,22.86
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,55.0,4.22,11.28,15.52,8.22,0.7,9.56,0.06,0.11,,0.2,,,68.02,0.48,88.42,26.12
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,48.71,4.24,11.29,15.53,8.2,0.7,9.21,0.0,0.2,,,,,67.69,0.55,66.69,29.0
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,77.85,4.22,11.27,15.51,8.24,0.7,11.41,0.09,0.0,,0.19,,,54.93,1.0,101.67,30.73
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,68.28,4.23,11.3,15.52,8.19,0.7,9.78,0.08,0.0,0.1,,,,63.99,1.19,73.48,26.2
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,78.39,4.23,11.31,15.53,8.25,0.7,7.56,0.12,0.0,0.1,0.1,,,68.8,0.91,83.97,27.0
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,45.14,4.23,11.3,15.53,8.23,0.7,5.21,0.0,0.09,0.31,,,,75.94,0.3,79.55,24.12
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,21.59,4.21,11.28,15.51,8.24,0.7,4.36,0.15,0.0,,0.15,,,73.19,0.23,79.65,24.64
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,25.59,4.22,11.27,15.52,8.23,0.7,5.87,0.0,0.0,,,,,67.63,0.37,92.35,22.4
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,27.4,4.23,11.29,15.53,8.22,0.7,7.51,0.05,0.14,,,,,66.61,0.38,73.95,27.35
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,26.03,4.23,11.28,15.52,8.25,0.7,5.57,0.0,0.0,,,,,64.97,0.31,86.04,23.21
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,31.13,4.23,11.29,15.53,8.24,0.7,8.24,0.0,0.0,,,,,59.37,0.41,97.36,21.86
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,37.32,4.22,13.11,18.01,9.57,0.7,12.21,0.0,0.0,,,,,64.25,0.32,72.8,27.9
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,47.07,4.63,14.2,19.53,9.98,0.7,11.42,0.0,0.0,,,,,67.04,0.73,83.49,28.53
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,34.39,5.07,12.42,17.07,8.27,0.7,14.17,0.0,0.0,,,,,66.83,0.55,111.98,21.75
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,37.33,5.09,12.41,17.07,8.24,0.7,15.83,0.0,0.0,,,,,,0.8,91.19,28.12
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,45.11,5.09,12.39,17.08,8.21,0.7,13.04,0.0,0.0,,,,,,0.87,90.72,20.12
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,45.04,4.58,11.75,16.16,5.79,0.7,10.47,0.0,0.0,,,,,56.55,1.45,95.75,25.51
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,44.97,4.24,11.3,15.52,4.1,0.7,13.52,0.0,0.0,,,,,63.94,0.8,96.92,31.61
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,45.03,4.23,11.29,15.53,4.09,0.7,19.76,0.0,0.0,,,,,55.04,1.09,99.98,30.22
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,34.82,4.22,11.3,15.51,4.12,0.7,13.23,0.0,0.0,,,,,56.46,0.77,83.84,25.34
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,61.92,4.22,11.28,15.51,4.11,0.7,17.11,0.0,0.0,,,,,53.48,1.05,90.87,31.7
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,75.31,4.24,11.3,15.51,4.14,0.7,17.52,0.0,0.0,,,,,57.37,1.17,79.21,28.17
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,98.21,4.22,11.28,15.51,4.12,0.7,11.4,0.0,0.0,,,,,60.16,1.14,64.79,29.35
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,51.82,4.21,11.3,15.52,4.07,0.7,16.96,0.0,0.0,,,,,56.26,1.32,82.43,31.06
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,62.87,4.25,11.3,15.51,4.12,0.7,19.83,0.0,0.0,,,,,49.83,1.23,102.83,33.45
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,68.14,4.22,11.28,15.51,4.11,0.7,13.62,0.0,0.0,,,,,54.52,0.51,79.95,32.84
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,37.7,4.24,11.27,15.49,4.1,0.7,9.37,0.0,0.0,,,,,48.03,0.28,105.56,20.04
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,44.41,4.23,11.29,15.52,4.11,0.7,13.57,0.0,0.0,,,,,53.7,0.57,90.27,34.27
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,41.42,4.24,11.28,15.52,4.13,0.7,7.67,0.0,0.0,,,,,61.58,0.56,74.99,33.05
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,42.48,4.23,11.28,15.53,4.11,0.7,5.36,0.0,0.0,,,,,62.8,0.38,90.19,34.31
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,40.32,4.24,11.29,15.52,4.1,0.7,7.96,0.0,0.0,,,,,65.48,0.42,71.99,34.93
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,46.9,4.24,11.29,15.51,4.13,0.7,10.45,0.0,0.0,,,,,63.87,0.32,75.13,37.11
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,61.96,4.23,11.29,15.51,4.1,0.7,7.74,0.0,0.0,,,,,61.7,0.45,88.49,43.64
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,58.49,4.23,11.31,15.53,4.12,0.7,13.34,0.0,0.0,,,,,57.18,0.78,111.58,40.49
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,59.25,4.23,11.28,15.51,4.11,0.7,11.7,0.0,0.0,,,,,67.24,1.46,92.89,42.89
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,22.84,4.23,11.28,15.52,4.12,0.7,13.19,0.0,0.0,,,,,70.17,2.53,99.62,41.56
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,13.8,4.23,11.29,15.51,4.12,0.7,20.87,0.0,0.0,,,,,66.13,1.37,113.32,41.09
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,29.03,3.85,22.08,24.25,4.11,0.7,10.75,0.0,0.26,0.1,0.31,,,65.96,1.15,100.7,49.82
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,57.21,27.31,49.24,18.29,9.5,0.7,10.28,0.06,0.0,,,,,67.78,0.59,82.36,51.13
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,37.2,28.05,39.01,12.07,20.66,0.7,6.39,0.1,0.11,,,,,64.75,0.22,76.87,53.57
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,42.39,11.38,7.89,13.17,21.47,0.7,7.64,0.21,0.19,0.17,0.41,,,65.06,0.18,85.04,50.63
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,42.29,9.65,8.69,16.69,24.52,0.7,6.73,0.08,0.0,,,,,67.41,0.14,111.96,48.15
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,28.01,21.31,14.68,32.04,25.9,0.7,4.24,0.13,0.0,,,,,64.56,0.25,157.94,57.09
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,23.81,3.69,5.25,8.55,27.74,0.7,5.39,0.0,0.0,,,,,69.74,0.24,150.21,46.11
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,25.29,4.14,5.36,9.28,29.25,0.7,5.01,0.12,0.09,0.1,0.09,,,66.08,0.37,179.68,45.45
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,35.94,8.23,5.91,9.47,27.07,0.7,5.09,0.13,0.21,0.09,0.39,,,62.42,0.29,198.79,43.05
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,55.73,7.69,6.91,11.51,30.71,0.7,6.63,0.12,0.13,0.22,0.12,,,59.65,0.29,113.83,56.16
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,82.12,2.15,5.09,7.04,33.48,0.7,5.82,0.0,0.0,,,,27.83,,0.57,124.95,66.72
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,38.5,16.26,10.13,25.43,31.11,0.7,6.87,0.09,0.19,,,,26.74,,0.43,92.35,45.7
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,39.86,8.11,5.79,12.97,30.99,0.7,4.87,0.0,0.29,0.2,,0.13,26.56,,0.25,110.74,47.57
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,92.57,2.62,4.51,6.38,32.52,0.7,5.63,0.0,0.25,0.24,,,27.85,,0.31,146.92,49.74
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,43.64,7.04,5.27,12.3,31.51,0.7,3.39,,,,,,27.7,,0.46,117.48,47.46
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,61.35,7.38,4.75,11.06,33.17,0.7,4.44,,,,,,28.16,,0.64,124.95,48.77
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,33.55,11.28,5.82,16.53,32.39,0.7,4.65,0.0,0.0,,,,28.17,,0.52,116.6,53.13
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,14.35,4.78,4.07,8.57,28.24,0.7,4.55,0.0,0.0,,,,28.16,,0.33,155.7,57.03
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,25.84,7.67,4.95,11.75,29.57,0.7,4.42,0.0,0.0,,,,27.12,,0.29,129.7,61.03
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,86.37,3.7,4.95,8.35,29.02,0.7,6.01,0.0,0.0,,,,27.1,,0.54,98.99,58.45
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,49.8,7.43,6.43,13.21,30.04,0.7,5.39,0.0,0.0,,,,27.96,,0.33,142.99,61.92
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,28.29,6.43,6.33,11.17,29.79,0.7,7.75,0.0,0.0,,,,27.82,,0.5,96.4,60.94
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,23.48,10.32,7.64,15.58,30.36,0.7,6.22,0.0,0.0,,,,27.54,,0.38,114.15,60.91
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,30.32,9.88,7.68,16.14,34.02,0.7,3.77,0.0,0.0,,,,27.11,,0.3,123.51,52.75
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,41.32,8.46,7.56,14.65,30.94,0.69,10.1,0.0,0.0,,,,26.73,78.21,0.45,96.18,62.73
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,40.15,9.38,8.44,16.42,28.76,0.7,8.55,0.0,0.0,,,,,88.57,0.38,140.66,61.91
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,79.75,6.38,7.42,13.29,31.46,0.7,7.18,,,,,,,88.1,0.29,117.72,58.67
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,39.65,8.09,7.04,14.47,30.16,0.7,7.68,,,,,,,84.12,0.38,103.38,57.62
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,38.24,19.07,9.92,26.33,29.86,0.7,4.71,,,,,,,87.66,0.35,125.69,63.64
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,40.97,6.57,7.41,13.18,29.46,0.7,6.93,,,,,,,89.04,0.47,103.51,58.69
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,65.56,4.96,8.97,13.25,24.22,0.7,6.87,,,,,,,82.4,0.5,106.45,58.0
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,52.77,8.6,8.46,16.36,26.0,0.7,12.38,,,,,,,81.35,0.33,125.12,56.99
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,43.71,8.89,9.33,10.95,25.29,0.7,10.77,,,,,,,87.97,0.38,133.87,57.84
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,44.1,15.59,9.41,22.42,28.47,0.7,5.09,,,,,,,70.81,0.32,160.32,55.47
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,,20.39,15.28,35.71,27.78,0.7,3.43,,,,,,,72.08,0.13,169.68,2.23
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,,,,,,,,,,,,,,,,,
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,31.75,1.94,6.74,8.68,28.02,0.7,14.48,0.0,0.0,,,,,62.21,0.7,249.91,78.05
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,29.34,2.62,5.89,8.46,26.55,0.7,11.6,0.0,0.0,,,,,66.37,0.88,268.22,56.52
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,45.04,1.82,7.47,9.29,26.78,0.7,15.01,0.0,0.0,,,,,58.78,0.8,231.28,61.34
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,46.94,1.53,5.6,7.13,26.8,0.7,10.11,0.0,0.0,,,,,67.66,0.86,256.92,55.87
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,35.7,2.26,5.47,7.73,27.97,0.7,9.05,0.0,0.0,,,,,71.6,0.63,219.02,55.82
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,2.46,2.11,5.66,7.78,26.71,0.7,8.04,0.0,0.0,,,,,70.25,0.54,163.52,54.92
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,,2.85,5.28,8.14,29.37,0.7,12.11,0.0,0.0,,,,,67.53,0.61,189.76,59.16
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,,7.07,6.05,12.97,28.42,0.7,8.94,0.0,0.0,,,,,67.7,0.84,215.47,60.97
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,,3.23,6.39,9.61,32.79,0.7,7.71,0.0,0.0,,,,,65.75,0.93,222.69,59.98
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,43.34,5.6,7.01,11.42,32.5,0.7,6.61,0.0,0.0,,,,,63.6,0.75,220.96,58.11
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,41.77,5.55,5.95,11.01,35.74,0.7,3.58,0.0,0.0,,,,,65.38,0.67,204.02,66.15
355,11-Apr-2021 - 00:00,12-Apr-2021 - 00:00,38.55,4.48,3.65,8.11,37.73,0.7,2.43,0.0,0.0,,,,,66.42,0.47,161.45,66.53
356,12-Apr-2021 - 00:00,13-Apr-2021 - 00:00,21.0,2.91,3.5,6.41,33.57,0.7,3.9,0.0,0.0,,,,,65.84,0.48,173.28,69.27
357,13-Apr-2021 - 00:00,14-Apr-2021 - 00:00,10.32,5.18,3.75,7.07,39.12,0.7,3.25,0.0,0.0,,,,,66.36,0.43,179.4,67.05
358,14-Apr-2021 - 00:00,15-Apr-2021 - 00:00,13.16,11.33,6.16,17.47,44.77,0.7,2.97,0.0,0.0,,,,,71.49,0.36,167.15,25.08
359,15-Apr-2021 - 00:00,16-Apr-2021 - 00:00,18.99,8.02,6.22,10.22,43.72,0.7,6.64,0.0,0.0,,,,,71.84,0.71,150.02,51.97
360,16-Apr-2021 - 00:00,17-Apr-2021 - 00:00,38.95,5.78,5.43,11.1,38.25,0.7,5.35,0.0,0.0,,,,,70.46,0.59,194.81,76.22
361,17-Apr-2021 - 00:00,18-Apr-2021 - 00:00,24.15,5.63,5.68,8.67,35.59,0.7,6.85,0.0,0.0,,,,,67.31,0.67,255.29,81.68
362,18-Apr-2021 - 00:00,19-Apr-2021 - 00:00,17.97,9.23,5.88,13.51,37.34,0.7,5.02,0.0,0.0,,,,,67.97,0.65,239.17,85.2
363,19-Apr-2021 - 00:00,20-Apr-2021 - 00:00,30.01,,,,38.86,0.7,9.45,0.0,0.0,,,,,68.19,0.6,243.94,75.98
364,20-Apr-2021 - 00:00,21-Apr-2021 - 00:00,31.82,1.82,5.08,6.91,40.34,0.7,5.81,0.0,0.0,,,,,69.15,0.78,212.37,21.34
365,21-Apr-2021 - 00:00,22-Apr-2021 - 00:00,24.31,6.65,5.52,12.17,37.67,0.7,9.9,0.0,0.0,,,,,69.34,0.69,218.98,80.13
