,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
0,21-Apr-2020 - 00:00,22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
1,22-Apr-2020 - 00:00,23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
2,23-Apr-2020 - 00:00,24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
3,24-Apr-2020 - 00:00,25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
4,25-Apr-2020 - 00:00,26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
5,26-Apr-2020 - 00:00,27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
6,27-Apr-2020 - 00:00,28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
7,28-Apr-2020 - 00:00,29-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
8,29-Apr-2020 - 00:00,30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,
9,30-Apr-2020 - 00:00,01-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
10,01-May-2020 - 00:00,02-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
11,02-May-2020 - 00:00,03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
12,03-May-2020 - 00:00,04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
13,04-May-2020 - 00:00,05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
14,05-May-2020 - 00:00,06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
15,06-May-2020 - 00:00,07-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
16,07-May-2020 - 00:00,08-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
17,08-May-2020 - 00:00,09-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
18,09-May-2020 - 00:00,10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
19,10-May-2020 - 00:00,11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
20,11-May-2020 - 00:00,12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
21,12-May-2020 - 00:00,13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
22,13-May-2020 - 00:00,14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
23,14-May-2020 - 00:00,15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
24,15-May-2020 - 00:00,16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
25,16-May-2020 - 00:00,17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
26,17-May-2020 - 00:00,18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
27,18-May-2020 - 00:00,19-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
28,19-May-2020 - 00:00,20-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
29,20-May-2020 - 00:00,21-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
30,21-May-2020 - 00:00,22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
31,22-May-2020 - 00:00,23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
32,23-May-2020 - 00:00,24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
33,24-May-2020 - 00:00,25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
34,25-May-2020 - 00:00,26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
35,26-May-2020 - 00:00,27-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
36,27-May-2020 - 00:00,28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
37,28-May-2020 - 00:00,29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
38,29-May-2020 - 00:00,30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
39,30-May-2020 - 00:00,31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,53.02,69.1,1.31,6.75,8.55,4.32,11.03,0.65,1.64,0.0,,,,81.11,0.23,213.66,,,0.0
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,42.57,55.16,1.67,6.79,9.11,4.71,11.22,0.67,3.12,0.0,,,,69.53,0.4,245.41,,,0.0
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,41.45,55.66,4.33,8.93,15.15,7.4,11.32,0.78,2.54,0.0,,,,68.08,0.34,231.8,,,0.0
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,49.29,64.97,1.32,7.17,8.96,4.71,11.31,0.64,3.89,0.0,,,,71.46,0.46,243.98,,,0.0
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,45.72,63.15,1.04,7.68,9.04,4.74,11.29,0.67,5.23,0.0,,,,72.61,0.41,259.13,,,0.0
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,35.64,54.05,1.27,6.93,8.64,4.53,11.35,0.64,3.81,0.0,,,,71.64,0.4,224.07,,,0.0
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,167.55,132.05,2.34,7.06,10.35,5.14,11.48,0.72,5.06,0.0,,,,69.76,0.41,233.01,,,0.0
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,126.15,146.91,4.53,8.08,14.61,7.06,11.62,0.9,5.78,0.0,,,,70.26,0.39,216.86,,,0.0
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,94.7,125.38,1.8,8.38,10.85,5.39,11.57,0.89,8.49,0.0,,,,62.34,0.33,177.15,,,0.0
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,76.5,106.46,1.02,9.02,10.32,5.28,11.56,0.85,5.94,0.0,,,,56.67,0.31,153.77,,,0.0
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,73.45,104.01,2.74,9.26,13.1,6.45,11.38,0.8,5.22,0.0,,,,57.99,0.29,163.2,,,0.0
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,81.18,118.41,1.51,10.56,12.54,6.2,11.41,0.82,6.78,0.0,,,,64.15,0.29,156.06,,,0.0
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,87.07,111.8,1.22,9.42,10.98,5.62,11.56,0.83,5.06,0.0,,,,60.05,0.23,124.44,,,0.0
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,82.61,102.36,1.38,8.03,9.88,4.99,11.58,0.81,3.31,0.0,,,,66.63,0.25,155.45,,,0.0
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,95.72,130.99,1.68,8.12,10.42,5.29,11.58,0.79,5.02,0.0,,,,63.54,0.43,207.13,,,0.0
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,99.09,127.35,1.63,10.81,12.95,6.37,11.62,0.95,5.63,0.0,,,,68.3,0.42,220.92,,,0.0
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,93.24,124.37,4.39,13.21,19.4,9.05,11.64,0.99,3.83,0.0,,,,70.28,0.33,218.5,,,0.0
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,63.51,82.42,1.93,10.84,13.45,6.56,11.71,0.73,5.04,0.0,,,,72.08,0.37,253.95,,,0.0
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,68.16,86.75,1.61,8.94,11.12,5.49,11.7,0.71,4.66,0.0,,,,75.16,0.37,254.99,,,0.0
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,70.72,94.6,2.55,11.23,14.73,7.21,11.84,0.86,3.66,0.0,,,,73.58,0.48,260.13,,,0.0
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,92.82,126.11,4.08,10.4,16.21,7.65,12.07,0.92,4.59,0.0,,,,75.31,0.42,248.87,,,0.0
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,89.97,112.26,5.49,11.85,19.71,9.05,12.13,1.01,4.79,0.0,,,,71.47,0.43,244.7,,,0.0
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,95.76,127.34,6.56,13.39,22.81,10.27,12.04,1.06,4.68,0.0,,,,71.47,0.35,206.9,,,0.0
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,91.42,116.21,8.56,11.1,23.57,10.56,12.04,1.11,3.94,0.0,,,,70.54,0.36,231.36,,,0.0
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,96.05,127.14,10.63,11.01,26.57,11.9,12.17,1.2,3.31,0.0,,,,64.57,0.3,197.06,,,0.0
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,92.17,114.46,7.39,12.7,23.37,10.36,12.11,1.14,2.95,0.0,,,,58.12,0.23,162.83,,,0.0
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,68.97,92.66,9.23,11.21,24.68,11.28,12.04,1.19,3.62,0.0,,,,58.34,0.24,149.71,,,0.0
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,49.73,84.89,7.1,13.95,24.17,11.0,12.52,1.29,4.54,0.0,,,,57.39,0.23,148.62,,,0.0
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,55.48,94.26,3.43,10.6,15.44,7.22,12.08,1.16,5.12,0.0,,,,56.28,0.21,149.05,,,0.0
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,59.79,108.84,3.96,13.28,18.82,8.59,12.22,1.34,15.09,0.0,,,0.09,61.37,0.22,162.31,,,0.0
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,47.83,76.69,6.03,9.72,18.44,8.24,12.36,1.19,12.09,0.0,,,0.07,54.96,0.21,160.55,,,0.0
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,56.94,89.08,6.72,9.93,19.7,8.8,12.39,1.28,4.99,0.03,,0.16,0.08,59.4,0.28,165.97,,,0.0
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,75.79,110.61,1.35,7.23,9.05,4.57,12.29,0.85,9.86,0.01,,0.09,0.05,56.77,0.26,160.18,,,0.0
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,60.47,91.07,1.1,6.54,8.0,4.16,12.3,0.8,9.54,0.03,,0.1,0.14,56.31,0.27,172.69,,,0.0
