,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,74.94,110.16,1.84,7.98,10.52,5.24,12.35,0.84,10.12,0.02,,0.03,0.05,57.1,0.25,166.85,,,0.0
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,72.4,104.23,4.85,11.52,18.45,8.48,12.47,1.14,10.01,0.04,,0.18,0.16,53.49,0.24,153.57,,,0.0
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,74.98,111.07,3.05,13.59,17.79,8.15,12.49,1.11,13.96,0.02,,0.1,0.19,56.06,0.26,163.92,,,0.0
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,84.34,124.99,1.51,10.83,12.78,6.07,12.6,1.23,13.77,0.0,,0.03,0.1,59.18,0.32,173.0,,,0.0
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,79.69,114.27,8.06,14.32,25.93,11.53,12.7,1.46,14.87,0.0,,,,60.32,0.3,160.45,,,0.0
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,80.94,114.36,10.19,14.83,29.61,13.03,12.81,1.42,16.16,0.0,,,,53.17,0.28,140.46,,,0.0
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,87.3,125.93,10.82,17.35,33.0,14.56,12.75,1.35,12.88,0.0,,,,50.44,0.26,153.62,,,0.0
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,80.47,114.06,2.59,17.06,20.44,9.48,12.67,1.1,15.69,0.0,,,,50.65,0.31,177.57,,,0.0
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,91.92,127.35,3.81,15.02,20.29,9.31,12.73,1.14,14.07,0.0,,,,54.15,0.27,163.07,,,0.0
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,77.46,107.6,8.21,15.96,27.79,12.44,13.02,1.29,14.63,0.0,,,,49.88,0.24,147.86,,,0.0
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,86.91,125.89,9.87,17.59,31.84,14.19,13.36,1.38,6.83,0.0,,,,47.36,0.19,120.35,,,0.0
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,81.44,121.0,5.44,17.18,24.84,11.57,13.74,1.26,10.05,10.33,,3.79,0.66,40.88,0.22,125.35,,,0.0
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,71.41,101.69,9.33,12.83,26.4,11.71,13.26,1.29,13.3,31.7,,0.06,0.08,47.24,0.29,178.71,,,0.0
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,60.23,85.09,5.72,12.97,21.15,9.76,13.05,1.03,15.84,12.42,,38.77,38.77,50.5,0.27,169.23,,,0.0
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,65.46,91.39,8.52,14.85,27.15,12.5,13.29,1.2,11.85,0.53,,,,49.79,0.27,155.73,,,0.0
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,88.63,124.54,12.61,15.42,33.81,14.91,13.27,1.36,9.65,0.6,,,,48.06,0.23,139.81,,,0.0
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,90.01,125.23,9.36,17.21,30.7,13.44,13.27,1.39,10.66,5.59,,4.97,4.97,51.0,0.25,152.42,,,0.0
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,74.84,103.98,8.48,15.76,27.98,12.52,13.31,1.25,11.79,0.54,,,,50.58,0.27,152.25,,,0.0
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,68.62,96.68,10.65,14.0,29.5,13.09,13.47,1.15,9.45,0.51,,,,50.34,0.3,148.63,,,0.0
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,68.08,94.24,8.44,15.71,27.88,12.38,13.85,1.14,11.04,0.51,,,,49.67,0.3,157.28,,,0.0
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,66.41,88.9,5.85,14.32,22.65,10.16,13.61,1.06,11.85,0.45,,0.03,,48.04,0.29,170.22,,,0.0
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,71.33,98.36,10.87,13.84,29.68,13.05,13.74,1.28,14.7,0.29,,,,51.28,0.27,157.81,,,0.0
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,81.72,115.1,7.89,13.72,25.11,11.35,14.19,1.24,15.83,0.0,,,,54.47,0.26,164.24,,,0.0
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,74.07,101.81,11.12,14.54,30.73,13.64,13.74,1.3,12.61,0.0,,,,50.36,0.25,151.22,,,0.0
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,59.77,84.12,11.89,13.59,30.95,13.5,14.13,1.22,13.89,0.0,,,,47.49,0.26,148.08,,,0.0
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,71.11,98.09,7.69,13.97,25.06,11.25,14.23,1.22,20.33,0.0,,,,49.74,0.29,143.54,,,0.0
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,107.89,133.08,7.12,15.9,26.1,11.53,14.81,1.26,19.71,0.0,,,,48.76,0.31,124.9,,,0.0
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,123.82,132.73,5.72,13.61,21.78,9.78,14.3,1.12,15.23,0.0,,,,49.56,0.25,156.28,,,0.0
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,161.35,174.9,7.22,14.07,24.46,10.92,13.92,1.23,10.96,0.0,,,,54.11,0.27,161.9,,,0.0
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,183.43,202.55,8.32,16.18,28.17,12.41,14.69,1.39,8.2,0.0,,,,56.75,0.22,143.64,,,0.0
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,134.35,165.64,2.85,13.24,17.14,7.89,13.95,1.26,12.03,0.01,,11.65,11.65,55.39,0.28,150.11,,,0.0
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,87.46,128.99,1.93,12.89,15.44,7.39,14.14,1.04,15.14,0.18,,,,53.6,0.37,189.63,,,0.0
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,77.07,116.93,3.12,16.08,20.31,9.37,13.83,1.1,8.87,0.42,,,,46.24,0.26,145.27,,,0.0
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,87.75,123.76,1.48,13.78,15.64,7.28,13.79,1.02,11.54,0.43,,,,49.95,0.3,186.96,,,0.0
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,74.53,107.94,6.03,18.76,27.26,12.38,14.01,1.13,12.95,0.41,,,,47.08,0.29,161.95,,,0.0
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,111.6,156.59,5.25,23.38,30.58,13.8,15.06,1.43,8.89,0.62,,,,50.88,0.26,154.07,,,0.0
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,,,,,,,,,,0.95,,,,78.67,0.18,109.07,,,
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,117.31,175.54,5.57,23.46,31.14,13.87,14.15,1.73,9.39,0.66,,,,47.5,0.24,164.81,,,0.0
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,128.53,192.9,10.2,19.92,34.59,15.46,14.18,1.79,7.47,0.72,,,,56.51,0.26,128.67,,,0.0
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,93.92,137.85,1.73,14.57,16.76,8.13,14.24,1.27,6.53,0.48,,0.02,,58.16,0.29,116.64,,,0.0
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,110.02,184.44,1.95,17.43,19.89,8.57,14.16,1.32,8.17,0.48,,,,63.57,0.3,179.57,,,0.0
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,94.98,145.12,3.67,15.05,20.13,10.06,13.83,1.31,8.55,0.51,,,,59.86,0.28,159.17,126.84,,0.0
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,110.61,163.76,7.0,16.69,26.69,12.73,14.08,1.62,4.77,0.7,,,,64.0,0.28,155.16,139.88,,0.0
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,94.87,139.89,4.47,13.77,20.08,10.02,14.25,1.44,9.07,0.63,,,,59.68,0.33,169.93,135.86,,0.0
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,62.19,90.46,4.2,13.97,19.86,9.69,13.73,1.32,10.31,0.53,,,0.01,61.56,0.34,180.89,143.1,,0.0
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,91.95,132.07,5.63,14.89,22.89,11.16,14.2,1.37,15.14,0.56,,0.02,,55.98,0.34,189.01,140.24,,0.0
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,92.05,142.44,3.17,15.69,19.99,9.85,13.98,1.45,6.73,5.43,,4.88,4.88,64.22,0.37,188.39,136.63,,0.0
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,70.31,104.37,2.47,14.24,17.54,8.73,14.01,1.34,6.92,0.54,,,,58.86,0.33,154.11,133.55,,0.0
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,100.54,144.58,11.9,17.48,34.77,16.28,14.87,1.89,5.17,0.82,,,,60.53,0.22,149.27,134.53,,0.0
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,97.63,138.27,9.24,15.79,29.15,14.0,14.73,1.53,8.78,0.68,,,,54.51,0.36,172.44,131.41,,0.0
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,99.51,144.77,1.5,16.34,18.13,9.46,14.55,1.13,13.8,0.47,,,,49.75,0.31,170.68,134.7,,0.0
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,100.94,146.35,4.24,22.54,28.25,13.75,14.77,1.51,11.5,0.67,,,,50.74,0.28,148.53,134.92,,0.0
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,87.56,152.78,9.85,25.75,39.75,18.87,17.51,1.71,10.54,0.75,,,,50.32,0.31,149.95,140.8,,0.0
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,91.04,125.24,14.92,20.82,42.51,19.69,15.79,1.57,12.65,0.66,,,,50.06,0.31,145.16,142.86,,0.0
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,81.91,116.88,8.43,17.52,29.62,13.9,16.27,1.32,14.71,0.58,,,,51.72,0.33,144.43,144.13,,0.0
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,65.35,91.85,9.58,17.45,31.26,14.56,15.83,1.19,18.99,0.53,,,,42.53,0.28,145.31,137.1,,0.0
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,58.6,83.37,7.54,19.01,29.74,14.12,16.98,1.12,11.56,0.52,,,,43.02,0.34,152.87,142.53,,0.0
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,70.14,99.1,2.65,17.67,21.14,9.98,15.25,0.97,8.88,0.49,,,,55.25,0.42,190.43,140.32,,0.0
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,70.1,119.28,7.84,13.34,28.14,13.2,14.29,1.22,14.85,0.55,,,,51.76,0.39,175.23,135.99,,0.0
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,77.98,112.12,6.45,19.45,27.38,12.96,15.97,1.25,17.35,0.6,,,,50.88,0.35,163.4,137.78,,0.0
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,97.37,120.76,8.76,21.32,33.77,15.81,16.05,1.35,29.5,0.62,,0.09,,43.74,0.31,145.71,125.78,,0.0
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,110.36,133.84,2.53,19.9,23.13,11.31,17.75,1.21,33.53,0.58,,,,40.95,0.3,130.18,127.13,,0.0
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,93.61,134.94,4.51,22.22,28.33,13.81,16.67,1.46,32.69,0.68,,,,41.52,0.27,131.86,125.18,,0.0
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,94.75,134.1,2.64,16.35,19.84,10.21,17.08,1.17,32.26,0.55,,,,40.78,0.27,124.7,120.31,,0.0
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,93.79,136.13,2.87,17.43,21.23,10.84,16.89,1.23,32.41,0.62,,,,38.92,0.27,124.6,121.44,,0.0
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,88.48,127.42,2.66,21.21,24.6,12.23,16.63,1.29,27.88,0.6,,,,41.31,0.29,145.25,117.13,,0.0
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,88.51,127.4,6.67,18.85,28.28,13.84,16.64,1.39,26.22,0.69,,,,36.87,0.25,139.55,113.41,,0.0
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,75.37,109.05,1.44,14.36,16.11,8.24,15.9,1.05,29.77,0.58,,0.02,,40.13,0.34,151.34,120.74,,0.0
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,71.06,103.97,2.59,17.42,20.8,10.35,16.36,1.12,28.14,0.56,,,,36.53,0.3,140.71,114.12,,0.0
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,67.27,97.3,2.79,18.21,21.86,10.65,17.46,1.16,27.0,0.58,,,,35.17,0.28,138.83,116.77,,0.0
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,88.02,128.9,4.8,16.83,23.53,11.3,17.95,1.33,13.69,0.79,,,,46.47,0.24,142.63,117.48,,0.0
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,86.83,127.79,9.08,14.4,27.53,13.42,17.76,1.34,26.92,0.73,,,,42.55,0.4,141.79,115.14,,0.0
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,78.03,111.65,8.09,19.26,30.79,14.65,17.07,1.41,28.43,0.69,,,,38.28,0.3,141.08,119.12,,0.0
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,73.82,106.14,6.61,20.59,29.86,14.17,17.99,1.35,25.54,0.69,,,,37.14,0.31,129.51,116.89,,0.0
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,78.41,113.3,1.78,19.3,21.43,10.47,17.84,1.28,30.23,0.6,,,,37.26,0.27,118.1,116.69,,0.0
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,70.61,103.28,0.87,10.1,11.12,5.94,15.87,0.99,26.3,0.45,,,,41.93,0.35,126.15,113.49,,0.0
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,58.75,82.12,0.47,8.09,8.49,4.2,16.21,0.73,47.6,0.32,,,,38.01,0.33,120.59,112.24,,0.0
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,42.85,60.42,0.27,5.09,5.27,2.77,14.39,0.51,43.47,0.22,,,,37.53,0.38,119.62,108.35,,0.0
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,41.76,56.67,0.36,4.82,5.14,3.15,14.62,0.48,31.79,0.17,,,,40.6,0.38,124.73,109.24,,0.0
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,45.96,64.8,0.63,6.42,7.13,4.01,15.75,0.58,27.58,0.19,,,0.03,43.31,0.36,141.76,127.64,,0.0
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,40.2,62.26,0.83,10.97,11.89,6.11,15.88,0.63,20.2,0.18,,,0.05,38.59,0.36,151.11,123.84,,0.0
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,68.98,92.62,1.23,14.19,15.64,7.58,17.16,0.92,30.78,0.32,,,0.05,38.4,0.34,163.75,124.89,,0.0
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,91.74,106.83,0.81,10.8,11.68,5.67,16.16,0.85,27.36,0.37,,,,52.25,0.46,175.54,161.36,,0.0
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,79.52,87.36,0.28,6.67,6.81,3.18,14.13,0.63,32.02,0.3,,0.03,,57.63,0.47,160.72,153.34,,0.0
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,55.7,62.33,0.2,4.53,4.58,2.31,13.79,0.43,26.5,0.17,,,,59.96,0.55,153.28,161.15,,0.0
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,57.52,66.83,0.83,5.59,6.57,3.38,14.63,0.46,35.34,0.2,,6.89,6.89,68.13,0.53,192.72,121.99,,0.0
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,72.16,79.42,0.66,8.35,9.08,4.5,14.88,0.59,22.93,0.23,,,,73.85,0.55,180.74,1.17,,0.0
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,54.03,59.96,0.59,6.39,7.07,3.74,14.98,0.53,17.77,0.2,,,,66.01,0.55,188.21,1.74,,0.0
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,55.53,61.36,0.67,9.88,10.58,5.07,14.94,0.58,14.33,0.25,,,0.01,59.94,0.44,160.82,1.66,,0.0
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,55.07,59.31,2.24,7.33,10.45,4.95,15.22,0.46,14.19,0.23,,,0.01,67.95,0.49,179.97,1.73,,0.0
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,100.25,109.3,4.34,12.13,18.26,8.65,18.98,0.93,32.31,0.37,,,0.04,61.08,0.47,199.69,1.71,,0.0
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,83.62,97.89,12.21,8.64,9.66,11.04,16.73,0.75,27.02,0.26,,23.95,23.98,61.03,0.5,180.91,1.12,,0.0
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,82.32,92.93,1.2,12.29,13.72,6.7,16.33,0.73,28.07,0.26,,,0.01,54.91,0.55,205.15,0.28,,0.0
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,104.34,115.5,1.87,14.99,17.34,8.3,19.11,0.98,29.24,0.4,,,0.03,53.07,0.44,160.35,0.28,,0.0
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,108.76,119.83,1.69,16.78,18.82,9.09,22.55,1.09,32.24,0.42,,,0.04,48.41,0.41,180.28,0.28,,0.0
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,108.55,126.73,2.3,15.66,18.65,9.01,20.67,1.05,30.65,0.38,,,0.06,48.56,0.49,178.35,0.27,,0.0
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,120.62,150.43,3.48,15.72,20.45,9.71,21.74,1.09,26.87,0.39,,,0.06,48.25,0.38,166.66,0.28,,0.0
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,127.58,164.59,2.17,20.9,23.54,11.05,21.6,1.17,29.41,0.4,,,0.07,48.52,0.36,180.12,0.28,,0.0
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,135.45,227.28,1.23,15.27,16.67,8.21,19.21,1.09,33.33,0.37,,,0.07,46.07,0.37,173.94,0.27,,0.0
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,147.86,283.29,1.54,17.07,18.87,9.25,19.53,1.19,33.26,0.38,,,0.08,44.53,0.34,164.0,0.28,,0.0
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,138.5,255.75,2.28,19.37,22.23,10.81,24.46,1.23,32.71,0.38,,,0.16,44.08,0.38,164.71,0.28,,0.0
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,111.18,208.69,1.87,17.23,19.54,9.48,20.08,1.06,32.89,0.31,,,0.23,41.91,0.41,175.82,0.28,,0.0
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,117.97,220.17,2.09,15.19,17.87,8.92,24.06,1.08,33.05,0.33,,,0.14,44.51,0.39,179.46,0.27,,0.0
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,68.54,161.98,1.51,18.13,19.88,9.67,22.17,0.96,34.07,0.29,,,0.07,42.01,0.47,175.18,0.27,,0.0
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,69.56,182.19,1.41,18.38,19.93,9.66,22.92,0.97,37.18,0.34,,,0.07,35.6,0.38,187.44,0.28,,0.0
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,67.85,174.58,1.37,13.83,15.48,7.68,20.58,0.9,41.99,0.3,,,0.07,40.06,0.36,180.79,0.29,,0.0
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,73.49,179.66,1.03,12.18,13.36,6.76,19.13,0.93,42.61,0.3,,,0.09,43.96,0.42,186.16,0.3,,0.0
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,78.75,155.1,0.94,9.76,10.88,5.6,20.39,0.99,25.15,0.27,,,0.07,53.97,0.48,185.94,0.31,,0.0
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,42.26,95.62,0.63,6.08,6.82,3.56,16.5,0.56,21.72,0.2,,,0.03,62.44,0.64,168.47,0.3,,0.0
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,37.09,100.44,0.43,4.21,4.66,2.61,16.02,0.42,24.45,0.11,,,0.01,65.29,0.94,179.26,0.35,,0.0
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,32.1,83.43,0.49,5.5,6.02,3.12,16.25,0.42,24.14,0.09,,,0.04,57.16,0.78,170.48,1.02,,0.0
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,40.4,113.0,0.54,5.82,6.39,3.35,16.89,0.45,24.44,0.11,,,0.1,58.85,0.59,204.17,1.04,,0.0
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,54.18,128.36,0.78,9.13,10.01,4.8,16.99,0.72,34.57,0.21,,,0.07,58.37,0.46,201.05,1.05,,0.0
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,43.15,124.28,0.48,6.16,6.67,3.68,18.03,0.55,50.35,0.14,,,0.07,52.03,0.86,227.84,1.09,,0.0
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,33.48,77.75,0.46,9.15,9.5,4.52,16.96,0.55,40.43,0.15,,,0.04,49.56,0.54,220.15,1.09,,0.0
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,65.12,131.8,1.24,13.74,15.19,7.19,18.65,0.94,39.03,0.22,,,0.07,55.21,0.48,201.09,1.1,,0.0
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,45.91,100.39,1.02,9.14,10.35,5.17,17.9,0.74,30.28,0.16,,,0.08,57.75,0.56,194.18,1.1,,0.0
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,36.39,73.67,0.43,7.77,8.17,3.56,15.25,0.64,31.02,0.27,,,,62.97,0.49,182.55,1.55,,0.0
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,26.55,54.11,0.34,6.54,6.79,3.11,15.47,0.51,42.51,0.2,,,,59.7,0.56,188.42,2.32,,0.0
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,46.28,92.52,0.69,9.83,10.56,4.47,16.4,0.65,40.02,0.28,,,,63.44,0.49,203.89,2.39,,0.0
355,11-Apr-2021 - 00:00,12-Apr-2021 - 00:00,50.06,97.27,0.64,8.42,9.14,4.21,15.28,0.63,41.34,0.32,,,,62.53,0.51,215.65,2.41,,0.0
356,12-Apr-2021 - 00:00,13-Apr-2021 - 00:00,44.93,94.65,0.66,9.26,9.97,4.78,16.74,0.66,40.14,0.31,,,,59.12,0.56,188.23,2.34,,0.0
357,13-Apr-2021 - 00:00,14-Apr-2021 - 00:00,41.29,87.09,0.89,9.19,10.23,4.91,16.97,0.61,38.19,0.29,,,,59.56,0.52,187.57,2.39,,0.0
358,14-Apr-2021 - 00:00,15-Apr-2021 - 00:00,31.63,66.93,0.4,5.77,6.16,3.16,15.71,0.44,29.88,0.19,,,,54.6,0.59,180.1,2.37,,0.0
359,15-Apr-2021 - 00:00,16-Apr-2021 - 00:00,26.83,58.32,0.42,6.53,6.9,3.27,16.13,0.37,24.38,0.15,,,,59.36,0.62,186.55,2.43,,0.0
360,16-Apr-2021 - 00:00,17-Apr-2021 - 00:00,25.74,59.06,0.32,5.45,5.7,2.77,15.54,0.4,28.19,0.18,,,,58.21,0.68,185.61,2.43,,0.0
361,17-Apr-2021 - 00:00,18-Apr-2021 - 00:00,25.76,62.44,0.31,8.51,8.4,4.07,15.88,0.44,46.38,8.82,,15.68,15.68,51.11,0.53,175.73,3.31,,0.0
362,18-Apr-2021 - 00:00,19-Apr-2021 - 00:00,35.12,59.69,0.43,11.11,11.27,5.39,16.52,0.47,41.93,0.24,,,,44.05,0.4,147.92,,,0.0
363,19-Apr-2021 - 00:00,20-Apr-2021 - 00:00,28.82,51.71,0.21,6.71,6.59,3.86,15.88,0.38,28.0,0.26,,,,45.05,0.44,147.17,,,0.0
364,20-Apr-2021 - 00:00,21-Apr-2021 - 00:00,23.27,54.49,0.13,5.62,5.35,3.07,15.72,0.28,25.57,0.12,,,,48.82,0.49,155.71,,,0.0
365,21-Apr-2021 - 00:00,22-Apr-2021 - 00:00,35.84,77.76,0.32,8.83,8.87,4.29,16.16,0.4,38.71,0.15,,,,47.9,0.48,154.21,,,0.0
